"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",3.7945955184895,-0.502164845169163,0.294690107889382,-1.70404377929666,0.0883729086128495,0.588179491680537
"hsa-let-7b-5p",24.0482697236575,-0.0689811570140872,0.227439440108661,-0.303294613199587,0.761665351023486,0.88358250708232
"hsa-let-7i-5p",2.28371564808612,-0.178977250365773,0.27541597811944,-0.649843380866434,0.515793394063303,0.88358250708232
"hsa-miR-122-5p",8.44929789277568,-0.386487508898076,0.412767593530079,-0.936332006087858,0.349102274045791,0.88358250708232
"hsa-miR-16-5p",106.45570350435,-0.0249288713181718,0.147082920202839,-0.16948855301345,0.865412375478834,0.88358250708232
"hsa-miR-21-5p",1.55978090205999,-0.695914124792826,0.431683636384203,-1.61209289891511,0.106941725760098,0.588179491680537
"hsa-miR-25-3p",1.71346514282485,-0.3092743419838,0.384756525396289,-0.803818315141649,0.42150191066117,0.88358250708232
"hsa-miR-423-5p",1.94745700592494,-0.211846456851545,0.473938532264705,-0.446991418569074,0.654881255911518,0.88358250708232
"hsa-miR-451a",1.29087397428892,-0.195860205512039,0.469087674652691,-0.41753432480837,0.676287623078985,0.88358250708232
"hsa-miR-486-5p",93.8448989737916,0.0208745577259949,0.142557256434398,0.146429289171968,0.88358250708232,0.88358250708232
"hsa-miR-92a-3p",8.08976471364122,-0.192511112272923,0.421290019533037,-0.45695626135721,0.647702483778917,0.88358250708232
