HFW01_V2	HFW01_V3	HFW02_V2	HFW02_V3	HFW03_V2	HFW03_V3	HFW04_V2	HFW04_V3	HFW05_V2	HFW05_V3	HFW07_V2	HFW07_V3	HFW08_V2	HFW08_V3	HFW09_V2	HFW09_V3	HFW10_V2	HFW10_V3	HFW11_V2	HFW11_V3	HFW12_V2	HFW12_V3	HFW144_V2	HFW15_V2	HFW15_V3	HFW16_V2	HFW16_V3	HFW17_V2	HFW17_V3	HFW18_V2	HFW18_V3	HFW21_V2	HFW21_V3	HFW23_V2	HFW23_V3	HFW24_V2	HFW24_V3	HFW25_V2	HFW25_V3	HFW26_V2	HFW26_V3	HFW27_V2	HFW27_V3	HFW29_S2_V3	HFW29_S4_V3	HFW30_V2	HFW30_V3	HFW31_V2	HFW31_V3	HFW32_S3_V3	HFW32_S6_V3	HFW32_V2	HFW34_V2	HFW34_V3	HFW35_V2	HFW35_V3	HFW36_V2	HFW36_V3	HFW38_V2	HFW38_V3	HFW39_S3_V3	HFW39_V2	HFW40_V2	HFW40_V3	HFW41_V2	HFW41_V3	HFW43_V2	HFW43_V3	HFW45_V2	HFW45_V3	HFW48_V2	HFW48_V3	HFW49_V2	HFW49_V3	HFW50_V2	HFW50_V3	HFW51_V2	HFW51_V3
hsa-let-7a-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-5p	3562	4	1	4	3	17285	0	1	4	4	5	7	2	0	2	0	20	38817	14	0	5	2	9	2	1	6	4	12	6	4	10	2	0	4	0	31662	24	3	3	11	13	2	18	14	11	3	0	4	14	78445	83324	3	6	9	4	0	4	15	2	0	16	3	2	5	3	11	2	13	3	12	1	6	0	6	1	1	3	11
hsa-let-7b-3p	3	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7b-5p	11534	21	6	16	21	33151	13	17	94	34	40	69	17	4	30	2	51	54226	103	5	43	18	137	52	7	64	16	137	21	41	64	27	1	29	7	73455	76	38	11	139	116	89	85	29	55	55	4	30	82	137078	147928	27	29	13	34	1	7	50	11	0	53	2	21	19	36	36	15	50	11	52	4	13	12	49	3	7	5	40
hsa-let-7c-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7c-5p	1051	1	0	0	1	5389	0	1	4	1	1	0	2	0	0	0	1	412	2	0	2	0	1	1	0	2	2	2	0	1	1	2	0	0	0	10058	1	2	0	3	6	7	3	1	0	0	0	0	3	735	784	1	2	1	3	0	0	1	0	1	1	0	0	2	1	6	1	2	0	1	0	0	1	0	0	0	0	1
hsa-let-7d-3p	3	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	1548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	0	0	262	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7d-5p	148	1	0	0	0	634	0	0	0	2	0	0	0	0	1	0	0	2104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2226	0	0	0	0	0	0	1	0	0	0	0	1	0	4116	4470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2
hsa-let-7e-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7e-5p	20	0	0	0	1	247	0	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	306	0	1	1	0	0	0	0	1	0	0	0	0	0	431	519	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
hsa-let-7f-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-2-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7f-5p	1266	0	0	0	1	7329	0	1	1	6	1	2	0	0	3	0	1	12133	0	1	2	0	2	0	1	2	0	1	1	1	2	1	0	1	0	6103	8	1	1	0	3	1	3	1	2	1	0	1	2	16051	17412	0	1	1	0	0	0	7	1	0	4	0	1	5	2	4	0	1	1	1	0	1	0	0	0	0	0	2
hsa-let-7g-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7g-5p	243	0	0	0	0	763	1	0	0	2	0	0	1	0	0	1	0	2971	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2023	0	0	0	1	1	0	1	0	1	1	0	1	1	2706	2926	0	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-let-7i-3p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7i-5p	1490	1	0	1	1	10267	2	3	7	6	2	5	4	3	4	1	15	23956	8	0	2	1	9	5	3	8	2	7	3	10	8	0	0	1	1	8668	8	0	3	11	13	6	3	5	5	6	1	6	7	27821	30724	0	2	3	5	0	0	12	0	0	6	0	1	3	2	2	2	5	1	3	0	0	0	7	0	1	3	6
