"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",4.51467182116378,-0.74500075241393,0.477593215954521,-1.55990648008885,0.118781982921209,0.479992237082586
"hsa-let-7b-5p",21.5857294884975,-0.0197034540838446,0.376607191879013,-0.0523183160298607,0.958275059221368,0.958275059221368
"hsa-let-7i-5p",2.58456038002997,-0.152677003289226,0.472786149913825,-0.322930363584158,0.746747980421569,0.958275059221368
"hsa-miR-122-5p",13.6756654685932,-0.128518348579281,0.685040367073153,-0.18760697143787,0.851184760869357,0.958275059221368
"hsa-miR-16-5p",130.267549256435,-0.482180486959161,0.337027230628357,-1.43068702804868,0.152519932615976,0.479992237082586
"hsa-miR-21-5p",2.08974863421028,-0.965866018796331,0.565862869785507,-1.7068906096674,0.0878423865107862,0.479992237082586
"hsa-miR-25-3p",3.17543388564954,-0.763713532427545,0.543537299913626,-1.40508026321084,0.159997412360862,0.479992237082586
"hsa-miR-30d-5p",1.34149450663149,-0.31402616779184,0.557950436860949,-0.562820901366371,0.573556846149937,0.889185210722367
"hsa-miR-423-5p",0.621701798166531,-0.458683976232232,0.554363565555394,-0.827406425551605,0.408006739825384,0.816013479650768
"hsa-miR-451a",2.05633404864657,0.268984206124703,0.502964929450259,0.534797140664863,0.592790140481578,0.889185210722367
"hsa-miR-486-5p",113.948728123698,0.227066373646459,0.178211391300042,1.27414062586024,0.202613582845648,0.486272598829554
"hsa-miR-92a-3p",13.8796302626489,-0.0224825608404084,0.307543849421717,-0.0731035944392418,0.941723681365216,0.958275059221368
