"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-let-7a-5p",10.0903590370718,-0.95434742727198,0.499657852610848,-1.91000185884252,0.0561329739840909,0.617462713825
"hsa-let-7b-5p",40.5616896955656,-0.214618691405549,0.371211065844382,-0.578158118528506,0.563157371770218,0.884961584210342
"hsa-let-7i-5p",5.63989639043274,-0.439716707592843,0.484953553463155,-0.906719219712349,0.364555297078631,0.668351377977491
"hsa-miR-122-5p",24.8247404059711,-0.0734950646157141,0.629692455090832,-0.116715809474186,0.907085261756239,0.907085261756239
"hsa-miR-16-5p",241.083922799501,-0.377521586503886,0.328503911504326,-1.14921488993873,0.250467382537572,0.668351377977491
"hsa-miR-21-5p",4.16572444587488,-0.781257283791764,0.53723997056549,-1.45420543257313,0.145889359298811,0.668351377977491
"hsa-miR-25-3p",6.11489383210977,-0.53431729254849,0.494750340927522,-1.07997357120925,0.280153949270956,0.668351377977491
"hsa-miR-30d-5p",2.63605884829401,0.134888631097593,0.515020940835728,0.261909022337437,0.793391583544763,0.907085261756239
"hsa-miR-451a",4.26969556325555,0.157622863402495,0.511477192796866,0.308171831749876,0.757951585100472,0.907085261756239
"hsa-miR-486-5p",195.812034930977,0.230173075692007,0.224973641656156,1.02311130316234,0.306255223257372,0.668351377977491
"hsa-miR-92a-3p",25.1901852702886,-0.0312809355147918,0.232599069299822,-0.134484353737763,0.893019582604218,0.907085261756239
